,date,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,et0_fao_evapotranspiration
176,2015-06-25 23:00:00,23.065332,0.0,15.9134655,6.1148496
177,2015-06-26 23:00:00,25.148668,0.0,21.129883,7.596369
178,2015-06-27 23:00:00,27.617416,0.0,14.512064,7.51339
179,2015-06-28 23:00:00,28.16117,0.0,22.26477,8.485558
180,2015-06-29 23:00:00,28.9195,0.0,24.696102,8.95865
181,2015-06-30 23:00:00,30.050749,0.0,25.959969,9.560466
182,2015-07-01 23:00:00,27.740335,0.0,16.418526,6.87579
183,2015-07-02 23:00:00,28.981997,0.0,25.661207,8.28824
184,2015-07-03 23:00:00,30.146584,0.0,19.881649,8.753698
185,2015-07-04 23:00:00,30.390333,0.0,24.766848,9.288881
186,2015-07-05 23:00:00,30.248667,0.0,25.068514,9.247301
187,2015-07-06 23:00:00,30.425749,0.0,20.87379,8.363067
188,2015-07-07 23:00:00,28.234085,0.0,13.556282,6.7697845
189,2015-07-08 23:00:00,26.607002,0.0,21.915691,6.6747103
190,2015-07-09 23:00:00,26.684088,0.0,16.199999,7.0136824
191,2015-07-10 23:00:00,26.640335,0.0,17.49615,7.0045776
192,2015-07-11 23:00:00,26.502832,0.0,15.2947035,6.3235946
193,2015-07-12 23:00:00,26.173666,0.0,14.77755,5.9541125
194,2015-07-13 23:00:00,27.013252,0.0,20.371038,7.0352097
195,2015-07-14 23:00:00,27.369501,0.0,23.977188,7.7605534
196,2015-07-15 23:00:00,26.929916,0.0,18.581022,7.247493
197,2015-07-16 23:00:00,26.47992,0.0,18.0,6.5374904
198,2015-07-17 23:00:00,26.475748,0.0,15.778516,6.3266287
199,2015-07-18 23:00:00,27.0445,0.0,14.764389,5.9292526
200,2015-07-19 23:00:00,26.998667,0.0,13.363711,6.049311
201,2015-07-20 23:00:00,26.97992,0.0,14.336861,6.22497
202,2015-07-21 23:00:00,28.550753,0.0,17.477621,6.700276
203,2015-07-22 23:00:00,27.590338,0.0,16.548256,5.977003
204,2015-07-23 23:00:00,27.640333,0.0,12.682018,6.0615416
205,2015-07-24 23:00:00,28.3445,0.0,17.339897,6.4434614
206,2015-07-25 23:00:00,27.744501,0.0,15.815435,6.470679
207,2015-07-26 23:00:00,28.013247,0.0,11.988594,6.2571774
208,2015-07-27 23:00:00,28.727835,0.0,17.174677,6.6319532
209,2015-07-28 23:00:00,29.946587,0.0,16.23596,6.649637
210,2015-07-29 23:00:00,28.565338,0.0,13.237038,4.532263
211,2015-07-30 23:00:00,29.546585,0.0,22.218153,5.6433244
212,2015-07-31 23:00:00,29.467417,0.1,16.42247,6.063301
213,2015-08-01 23:00:00,27.546585,0.0,24.72495,5.764757
214,2015-08-02 23:00:00,28.590332,0.0,21.566973,6.998714
215,2015-08-03 23:00:00,28.088255,0.0,12.682018,5.9134083
216,2015-08-04 23:00:00,29.371582,0.0,14.4,6.1470094
217,2015-08-05 23:00:00,29.94867,0.0,14.973576,6.337334
218,2015-08-06 23:00:00,29.188248,0.0,16.563911,6.187882
219,2015-08-07 23:00:00,29.746582,0.0,21.986542,7.2921658
220,2015-08-08 23:00:00,27.69867,0.0,20.371038,5.8591886
221,2015-08-09 23:00:00,28.16117,0.0,10.829959,5.4467554
222,2015-08-10 23:00:00,28.742418,0.0,14.904173,6.1183057
223,2015-08-11 23:00:00,29.750753,0.0,11.090103,5.9239287
224,2015-08-12 23:00:00,29.096586,0.0,17.477621,6.3340683
225,2015-08-13 23:00:00,27.554918,0.1,26.576681,6.5371904
226,2015-08-14 23:00:00,25.352835,0.0,16.595179,4.9271035
227,2015-08-15 23:00:00,25.692415,0.0,15.459054,5.5403795
228,2015-08-16 23:00:00,26.44242,0.0,18.775303,5.800505
229,2015-08-17 23:00:00,26.654915,0.0,15.575981,5.094932
230,2015-08-18 23:00:00,26.332,0.0,24.122686,5.3362236
231,2015-08-19 23:00:00,26.738253,0.0,24.863466,6.2995853
232,2015-08-20 23:00:00,27.259085,0.0,22.66857,6.8640413
233,2015-08-21 23:00:00,28.413254,0.0,19.770523,5.8368955
234,2015-08-22 23:00:00,27.236166,0.4,22.870626,5.477551
235,2015-08-23 23:00:00,25.3445,0.0,23.4,5.9135594
236,2015-08-24 23:00:00,25.2445,0.0,19.67195,5.510306
237,2015-08-25 23:00:00,26.877838,0.0,20.898613,5.53294
238,2015-08-26 23:00:00,26.723665,0.0,17.414474,5.2864957
239,2015-08-27 23:00:00,26.6445,0.0,19.469976,4.796461
240,2015-08-28 23:00:00,27.036163,0.0,14.182355,4.3385015
241,2015-08-29 23:00:00,27.54867,0.0,14.618837,4.724048
242,2015-08-30 23:00:00,27.852835,0.0,15.1884165,5.361746
243,2015-08-31 23:00:00,26.873672,0.0,15.629971,4.4565167
244,2015-09-01 23:00:00,27.246582,0.0,15.328561,4.699066
245,2015-09-02 23:00:00,25.871582,0.8,17.193533,3.8369074
246,2015-09-03 23:00:00,24.546585,0.0,20.696087,4.7620025
247,2015-09-04 23:00:00,23.896585,0.0,23.565567,4.5667386
248,2015-09-05 23:00:00,23.884085,0.3,27.757378,3.4457588
249,2015-09-06 23:00:00,24.202835,0.8,28.1169,4.4240403
250,2015-09-07 23:00:00,22.252832,5.0,16.746773,2.6658509
251,2015-09-08 23:00:00,21.12992,3.1,14.982228,3.238423
252,2015-09-09 23:00:00,22.78617,0.0,14.8257065,4.662227
253,2015-09-10 23:00:00,25.240335,0.0,15.077082,5.4977045
254,2015-09-11 23:00:00,27.754913,0.4,16.394829,4.8644967
255,2015-09-12 23:00:00,27.86325,0.0,17.643673,5.6178837
256,2015-09-13 23:00:00,24.934084,0.0,20.288164,4.6084166
257,2015-09-14 23:00:00,24.107,0.0,13.684735,4.523465
258,2015-09-15 23:00:00,24.606997,0.0,14.658676,4.379729
259,2015-09-16 23:00:00,24.304918,0.0,20.674156,4.73073
260,2015-09-17 23:00:00,23.473665,0.5,17.935081,3.0530632
261,2015-09-18 23:00:00,23.065332,1.0,28.165257,3.209204
262,2015-09-19 23:00:00,23.052835,0.0,17.873554,4.908572
263,2015-09-20 23:00:00,22.37575,0.0,10.446206,3.9800599
264,2015-09-21 23:00:00,24.215332,0.0,17.399586,4.7184725
265,2015-09-22 23:00:00,23.09867,0.0,22.963936,4.3203526
266,2015-09-23 23:00:00,21.388252,0.1,15.629971,3.6754124
267,2015-09-24 23:00:00,20.690332,0.0,12.144331,4.1026473
268,2015-09-25 23:00:00,20.842419,0.0,14.512064,4.2232585
269,2015-09-26 23:00:00,20.904919,0.1,13.684735,3.605763
270,2015-09-27 23:00:00,21.332,1.1,21.028437,4.087326
271,2015-09-28 23:00:00,20.750751,4.9999995,18.388212,2.1847463
272,2015-09-29 23:00:00,20.890335,2.5000002,29.888672,3.1968975
273,2015-09-30 23:00:00,20.567421,1.7,19.93048,3.1238842
274,2015-10-01 23:00:00,21.063251,0.0,11.966953,4.1533365
275,2015-10-02 23:00:00,23.877836,0.0,12.6462,4.503478
276,2015-10-03 23:00:00,24.546585,0.0,15.0038395,4.3874607
277,2015-10-04 23:00:00,26.44242,0.0,13.246826,4.647383
278,2015-10-05 23:00:00,25.404922,0.2,21.626984,4.858439
279,2015-10-06 23:00:00,23.104918,0.0,17.698677,3.7586162
280,2015-10-07 23:00:00,20.642416,11.1,10.24578,1.5297395
281,2015-10-08 23:00:00,18.107,17.2,22.26477,0.9629075
282,2015-10-09 23:00:00,18.41117,1.1,13.397612,2.6204722
283,2015-10-10 23:00:00,20.038248,0.0,11.440978,3.4008083
284,2015-10-11 23:00:00,21.821585,0.0,12.7279215,3.5126321
285,2015-10-12 23:00:00,20.944502,11.299999,14.168641,2.7283685
286,2015-10-13 23:00:00,20.104918,7.299999,22.057161,2.4589653
287,2015-10-14 23:00:00,19.467415,0.0,9.107359,2.921857
288,2015-10-15 23:00:00,19.573668,0.0,18.171976,3.5000541
289,2015-10-16 23:00:00,21.819502,0.0,15.277749,3.535773
290,2015-10-17 23:00:00,22.84867,0.90000004,17.072504,3.397995
291,2015-10-18 23:00:00,22.507002,0.1,17.114204,3.445333
292,2015-10-19 23:00:00,20.704918,17.4,13.084402,2.0567992
293,2015-10-20 23:00:00,16.863253,31.399998,20.957443,0.95799214
294,2015-10-21 23:00:00,16.142418,4.9999995,13.049689,1.8285124
295,2015-10-22 23:00:00,16.873669,0.0,13.905509,2.4197638
296,2015-10-23 23:00:00,17.465334,0.2,18.35647,2.7184875
297,2015-10-24 23:00:00,19.413252,0.0,11.090103,1.7604531
298,2015-10-25 23:00:00,19.432001,0.70000005,8.654986,1.894909
299,2015-10-26 23:00:00,19.509085,0.0,10.1376915,2.3725774
300,2015-10-27 23:00:00,18.93825,0.1,19.93048,2.5102956
301,2015-10-28 23:00:00,17.871584,0.0,14.372974,2.2911239
302,2015-10-29 23:00:00,16.669502,0.0,19.576189,2.7731125
