system:index,month,sumWater,.geo
2008_02,Feb-08,1437974.349,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_03,Mar-08,1203990.549,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_04,Apr-08,1523128.725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_05,May-08,1516242.725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_06,Jun-08,1450685.871,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_07,Jul-08,420313.3882,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_08,Aug-08,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_09,Sep-08,551561.5529,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_10,Oct-08,1519477.961,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_11,Nov-08,1519821.949,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_12,Dec-08,1519663.231,"{""type"":""MultiPoint"",""coordinates"":[]}"
2009_01,Jan-09,1515524.298,"{""type"":""MultiPoint"",""coordinates"":[]}"
2009_02,Feb-09,1517527.518,"{""type"":""MultiPoint"",""coordinates"":[]}"
2009_03,Mar-09,1515784.961,"{""type"":""MultiPoint"",""coordinates"":[]}"
2009_04,Apr-09,1514122.529,"{""type"":""MultiPoint"",""coordinates"":[]}"
2009_05,May-09,1512173.635,"{""type"":""MultiPoint"",""coordinates"":[]}"
2009_06,Jun-09,1510515.176,"{""type"":""MultiPoint"",""coordinates"":[]}"
2009_07,Jul-09,871339.1098,"{""type"":""MultiPoint"",""coordinates"":[]}"
2009_08,Aug-09,511667.3882,"{""type"":""MultiPoint"",""coordinates"":[]}"
2009_09,Sep-09,1542483.494,"{""type"":""MultiPoint"",""coordinates"":[]}"
2009_10,Oct-09,1547044.702,"{""type"":""MultiPoint"",""coordinates"":[]}"
2009_11,Nov-09,1544945.702,"{""type"":""MultiPoint"",""coordinates"":[]}"
2009_12,Dec-09,1523775.357,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01,Jan-10,1533139.988,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02,Feb-10,1537190.431,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03,Mar-10,1531414.961,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04,Apr-10,1528693.961,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05,May-10,1501795.365,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06,Jun-10,769355.749,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07,Jul-10,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08,Aug-10,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09,Sep-10,1296467.102,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10,Oct-10,1482996.506,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11,Nov-10,598875.2588,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_12,Dec-10,544551.2706,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01,Jan-11,1502395.647,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02,Feb-11,1524011.725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03,Mar-11,1519396.725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_04,Apr-11,1358156.643,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_05,May-11,1510089.725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_06,Jun-11,1513418.725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07,Jul-11,101040.3804,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08,Aug-11,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09,Sep-11,1383404.961,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_10,Oct-11,1546565.11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_11,Nov-11,1543402.588,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12,Dec-11,1217068.278,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01,Jan-12,1479255.8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_02,Feb-12,1418074.624,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_03,Mar-12,1476681.859,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_04,Apr-12,1381662.11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_05,May-12,1407520.416,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_06,Jun-12,1069943.012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07,Jul-12,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08,Aug-12,721734.8471,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09,Sep-12,557979.3098,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10,Oct-12,1208071.322,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_11,Nov-12,1357296.235,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_12,Dec-12,1344331.769,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_01,Jan-13,1271773.635,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_02,Feb-13,1344354.851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03,Mar-13,1348921.655,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_04,Apr-13,1417491.522,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_05,May-13,1529382.745,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_06,Jun-13,337296.4471,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_07,Jul-13,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_08,Aug-13,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_09,Sep-13,1552742.78,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_10,Oct-13,1551920.439,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_11,Nov-13,1552774.514,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_12,Dec-13,1551365.984,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_01,Jan-14,1087600.761,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_02,Feb-14,1545717.255,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03,Mar-14,1542373.635,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_04,Apr-14,1535195.251,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_05,May-14,1529716.706,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_06,Jun-14,1524523.667,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_07,Jul-14,1465302.071,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_08,Aug-14,1078474.612,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_09,Sep-14,1543868.184,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_10,Oct-14,1543914.216,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_11,Nov-14,1543520.596,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_12,Dec-14,1543053.69,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_01,Jan-15,1502191.035,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_02,Feb-15,1520972.647,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_03,Mar-15,1529219.784,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_04,Apr-15,1529232.063,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_05,May-15,1522505.945,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_06,Jun-15,1518728.592,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_07,Jul-15,728182.349,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_08,Aug-15,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_09,Sep-15,1447089.518,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_10,Oct-15,1547958.698,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_11,Nov-15,1547932.098,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_12,Dec-15,1546412.384,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_01,Jan-16,1540863.565,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_02,Feb-16,1536453.388,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_03,Mar-16,1533658.078,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_04,Apr-16,1527163.745,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_05,May-16,1521995.961,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_06,Jun-16,1394770.502,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_07,Jul-16,25147.81569,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_08,Aug-16,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_09,Sep-16,1492119.384,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_10,Oct-16,1558769.361,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_11,Nov-16,1559197.702,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_12,Dec-16,1557292.435,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_01,Jan-17,1549556.8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_02,Feb-17,1548797.443,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_03,Mar-17,1543108.788,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_04,Apr-17,1533946.369,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_05,May-17,1529146.863,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_06,Jun-17,1516910.816,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_07,Jul-17,75078.15686,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_08,Aug-17,13626.8549,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_09,Sep-17,1522510.604,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_10,Oct-17,1543478.027,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_11,Nov-17,1536846.525,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_12,Dec-17,1534715.176,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_01,Jan-18,1534311.239,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_02,Feb-18,1435383.435,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_03,Mar-18,1524827.059,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_04,Apr-18,1520119.529,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_05,May-18,1518188.725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_06,Jun-18,1514799.286,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_07,Jul-18,898235.6941,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_08,Aug-18,8766.713725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_09,Sep-18,1545425.671,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_10,Oct-18,1546774.137,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_11,Nov-18,1545529.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12,Dec-18,1538948.961,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01,Jan-19,1527188.427,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02,Feb-19,1525680.29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03,Mar-19,1523931.725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04,Apr-19,1520085.725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05,May-19,1516086.725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06,Jun-19,1513563.282,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_07,Jul-19,1288028.165,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_08,Aug-19,222844.9373,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_09,Sep-19,30020.4549,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_10,Oct-19,1558233.725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_11,Nov-19,1559647.392,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_12,Dec-19,1319813.086,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01,Jan-20,1542483.525,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02,Feb-20,1553688.655,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03,Mar-20,1549850.875,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04,Apr-20,1547513.784,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05,May-20,1541506.576,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06,Jun-20,1535202.831,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_07,Jul-20,557473.7765,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_08,Aug-20,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_09,Sep-20,1557115.655,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_10,Oct-20,1448130.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_11,Nov-20,1554748.82,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_12,Dec-20,1555639.667,"{""type"":""MultiPoint"",""coordinates"":[]}"
